time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/entropy_loss,train/value_loss,train/clip_fraction,train/loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_range,train/approx_kl,train/learning_rate
107,86.77,29696,0.7562999999999996,275,58,-1.31548161059618,0.01809657465200871,0.1548828125,-0.05878042057156563,-0.04321832456625998,570,0.7596433758735657,0.2,0.0169014,0.0003
109,85.28,30208,0.7721999999999999,275,59,-1.3293950378894805,0.014398425415856763,0.17421875,-0.06345883011817932,-0.043418605369515716,580,0.8439319729804993,0.2,0.019169882,0.0003
111,83.12,30720,0.7735999999999996,275,60,-1.247547686100006,0.02738394493353553,0.1515625,-0.06248953938484192,-0.03612594711594284,590,0.7953411340713501,0.2,0.014927426,0.0003
113,81.75,31232,0.7651999999999997,275,61,-1.1998876377940177,0.01846786683308892,0.1400390625,-0.05955156311392784,-0.04185679984511807,600,0.4613691568374634,0.2,0.015580509,0.0003
115,78.81,31744,0.9502999999999997,275,62,-1.1856442376971246,0.029435332957655193,0.1447265625,-0.044252876192331314,-0.03819819629425183,610,0.49961304664611816,0.2,0.016719662,0.0003
116,76.81,32256,0.9603999999999999,276,63,-1.2198187582194806,0.009307125414488837,0.1708984375,-0.0795392245054245,-0.04453148628817871,620,0.5818551778793335,0.2,0.016638612,0.0003
118,77.76,32768,0.9330999999999999,275,64,-1.0268537312746049,0.03995759273529984,0.1244140625,-0.036931779235601425,-0.027905800892040134,630,0.4909508228302002,0.2,0.0129712075,0.0003
120,76.11,33280,1.0255999999999996,275,65,-1.0857014507055283,0.019616472313646226,0.165625,-0.06352519989013672,-0.03998481316957623,640,0.8912371397018433,0.2,0.017946351,0.0003
122,77.72,33792,1.0384999999999995,275,66,-1.1801979705691337,0.025430857803439722,0.1619140625,-0.04683602601289749,-0.038618269143626094,650,0.024231374263763428,0.2,0.018265527,0.0003
124,78.88,34304,0.9774999999999996,275,67,-0.9575402148067951,0.015943364711711185,0.158984375,-0.05829716473817825,-0.0366119957761839,660,0.3882923126220703,0.2,0.013856554,0.0003
126,78.8,34816,1.0142999999999995,275,68,-1.1242055773735047,0.03347229552455246,0.1421875,-0.0405164510011673,-0.03767588273622095,670,0.7568650245666504,0.2,0.015440925,0.0003
128,77.98,35328,0.9641999999999998,275,69,-0.7832034066319465,0.028073354298248886,0.106640625,-0.03994857147336006,-0.0348759830580093,680,0.7971663475036621,0.2,0.013728369,0.0003
130,78.58,35840,0.9161999999999998,275,70,-0.8972185365855694,0.052215156215243044,0.14140625,-0.031352583318948746,-0.03596505392342806,690,0.5397147536277771,0.2,0.016390473,0.0003
132,79.97,36352,0.9050999999999998,275,71,-0.9921987272799015,0.03633410371257924,0.155859375,-0.06277374178171158,-0.04174551065079868,700,0.4554724097251892,0.2,0.01751351,0.0003
