#{"t_start": 1781910846.894009, "env_id": "None"}
r,l,t
1.01,141,150.441639
-1.68,117,151.231775
1.88,23,151.299214
1.88,35,151.394076
1.88,18,151.443069
0.0,156,151.849652
-3.24,88,152.072739
1.41,145,152.827182
1.88,26,152.893698
1.79,160,153.306839
1.88,78,153.508183
1.88,39,153.610273
1.88,28,153.686263
1.47,109,154.004994
1.88,28,154.082555
1.88,31,154.171196
1.88,35,154.745256
1.88,65,154.92437
-1.53,128,155.235817
1.59,155,155.652693
-2.29,131,156.079335
1.88,43,156.725664
1.37,155,157.144834
1.22,152,157.537137
1.88,52,157.671217
-1.63,142,158.45233
1.88,27,158.517623
1.88,52,158.660365
1.49,150,159.037271
1.88,58,159.202192
1.65,147,159.64048
1.3,153,160.527658
1.29,160,160.9129
1.2,158,161.312892
1.14,153,162.32004
1.88,31,162.42521
1.5,134,162.841419
1.54,141,163.246271
1.05,142,163.662946
-1.08,113,164.432152
-3.53,136,164.765537
1.88,34,164.857921
1.88,27,164.924411
1.45,148,165.301646
1.38,159,166.192436
1.88,70,166.369283
1.37,136,166.712818
1.88,19,166.757912
1.88,27,166.824618
1.88,23,166.877624
1.15,118,167.178028
-1.02,150,168.023947
1.24,153,168.513386
1.88,31,168.611139
1.88,33,168.723769
1.66,154,169.195367
1.72,155,170.102877
1.88,27,170.168445
1.88,32,170.245243
1.88,51,170.369727
1.72,48,170.511809
1.67,142,170.893753
1.88,46,171.024588
1.88,66,171.723283
1.88,34,171.812569
-1.09,148,172.232319
1.88,42,172.351975
1.88,42,172.460888
1.06,131,172.772959
1.58,80,173.434302
-2.71,82,173.645266
1.88,52,173.789556
1.73,93,174.045712
-1.87,58,174.195262
1.88,35,174.290529
1.88,18,174.352196
-2.16,115,174.758601
1.76,153,175.755862
1.67,131,176.06015
1.88,27,176.122771
1.88,36,176.20848
1.88,27,176.272883
1.4,148,176.627321
1.07,129,177.494064
1.88,35,177.58302
1.88,92,177.817358
-1.59,151,178.209196
1.88,22,178.26525
-1.77,132,179.020438
1.88,43,179.123086
1.88,19,179.177474
1.88,27,179.24417
1.88,33,179.335898
-2.95,50,179.494553
1.88,43,179.629932
1.53,111,179.956681
1.88,47,180.080216
1.38,100,180.355394
-2.54,103,181.229024
-1.07,117,181.615856
1.88,25,181.693181
1.88,39,181.804725
-2.57,109,182.07508
-1.32,145,182.438659
1.88,80,183.145129
1.88,51,183.291353
1.88,35,183.394529
1.88,56,183.554059
1.74,138,183.938164
1.88,35,184.034239
-1.84,109,184.311302
1.88,18,184.829356
1.88,36,184.915885
1.88,67,185.076444
1.43,142,185.426853
-2.2,135,185.773119
1.88,55,185.917035
1.88,22,185.975501
-1.28,137,186.793259
1.59,146,187.207272
1.88,72,187.39378
1.88,47,187.540401
1.88,85,187.791471
-3.75,79,188.481117
1.88,27,188.551961
1.71,127,188.870119
1.88,30,188.952258
-1.48,64,189.14137
1.88,87,189.415396
1.88,19,189.4839
1.88,24,189.553837
-1.35,144,190.420332
1.88,25,190.480828
-1.19,149,190.838903
-1.42,145,191.218075
1.88,75,191.434831
-1.97,106,192.22341
1.88,68,192.402038
1.88,76,192.613386
1.72,125,192.948538
1.88,39,193.042764
-3.17,72,193.215816
1.88,81,193.42342
-2.58,97,194.348951
-2.37,126,194.733841
-1.1,130,195.114655
1.11,143,195.498961
1.31,144,196.331548
1.88,37,196.418246
1.88,152,196.79879
-2.43,123,197.132373
-2.55,135,197.985478
1.88,20,198.037647
1.88,75,198.234254
1.88,23,198.294795
1.66,157,198.70816
-2.65,100,198.957398
1.88,27,199.023638
1.88,39,199.120386
-2.46,131,200.044714
1.88,26,200.138147
1.88,23,200.231861
1.88,40,200.379849
1.88,40,200.521035
1.88,39,200.646715
-1.96,138,201.073838
1.28,157,201.994528
-1.81,124,202.291517
-1.8,106,202.555448
1.88,55,202.687764
