#{"t_start": 1781910059.008159, "env_id": "None"}
r,l,t
-6.43,46,83.152184
-1.97,5,83.16834
-1.97,6,83.187371
-1.98,8,83.213784
-6.65,49,83.357779
-2.17,15,83.401232
-1.97,11,83.432292
-1.98,10,83.46226
-2.11,8,83.492409
-2.03,6,83.514371
-6.45,53,83.664743
-6.44,54,84.27971
-6.63,49,84.429128
-1.98,9,84.458882
-6.67,50,84.595835
-6.03,59,84.76299
1.88,18,84.807475
1.6,39,84.904194
-6.35,65,85.078252
-2.25,11,85.114465
-6.34,57,85.274696
-6.45,55,85.466305
-2.14,11,85.50279
-2.18,11,85.53519
-5.55,75,86.35174
-1.93,11,86.389894
-1.97,10,86.423656
-6.18,56,86.620975
-5.75,87,86.899174
-6.97,49,87.045124
1.58,25,87.102361
-5.71,56,87.258409
-6.18,66,87.415804
-2.05,9,87.437945
-5.23,87,87.648824
-6.7,46,88.235655
-6.51,53,88.384233
-2.03,6,88.404322
-2.26,15,88.447618
-2.03,8,88.473742
-6.51,53,88.654811
1.88,27,88.735593
-6.25,61,88.91243
-6.21,54,89.066103
-1.97,10,89.095869
-1.97,4,89.111033
-5.75,86,89.357475
-2.03,9,89.390827
-6.44,50,89.557256
-6.3,53,90.248508
-2.17,11,90.279466
-6.49,46,90.425804
-6.51,51,90.566314
-6.51,48,90.701453
-6.44,48,90.837217
-2.03,9,90.867423
-6.65,43,90.998043
-6.73,48,91.147528
-5.48,80,91.376476
-1.92,9,91.403211
-2.12,12,91.43956
-6.72,51,91.62782
-6.73,49,92.462134
-1.93,11,92.499877
-2.05,9,92.531784
-2.11,14,92.583585
-1.92,6,92.607128
-6.21,71,92.805085
-5.82,58,92.973785
1.34,19,93.021044
-6.51,53,93.156963
-6.33,49,93.278389
-1.93,6,93.294235
-6.23,52,93.440599
-6.27,51,93.575559
-6.6,50,93.700931
-3.02,32,93.783224
-6.63,51,94.446443
-2.05,11,94.479174
-6.37,48,94.624141
-1.88,13,94.662836
-6.28,49,94.800472
-1.92,11,94.835032
-2.25,10,94.867233
-2.05,8,94.890625
-2.45,14,94.930206
-6.66,47,95.06908
-6.79,45,95.203635
-3.24,98,95.477852
-6.69,63,95.658549
-5.74,63,95.838013
-6.71,47,96.423305
-2.02,14,96.468525
-1.98,11,96.5
-2.17,9,96.52734
-6.76,48,96.676965
-2.11,9,96.709874
-2.11,9,96.746228
-6.79,44,96.887019
-2.12,11,96.922333
-2.26,13,96.962117
-6.89,50,97.120979
-6.3,50,97.255298
-1.9,9,97.279921
-6.29,58,97.433912
-6.53,49,97.574774
1.41,21,97.63391
-2.03,8,97.658609
-2.25,13,97.698244
-6.06,58,98.423913
-5.69,49,98.617925
-6.3,84,98.885848
-1.93,8,98.91586
-2.03,9,98.943705
-2.03,9,98.971778
-2.11,12,99.006986
-6.43,61,99.17833
-6.63,49,99.325016
-2.14,12,99.364726
-6.03,45,99.483557
1.46,21,99.535144
-6.67,49,99.655171
-6.77,47,99.798321
-1.93,11,99.828241
-6.67,52,100.456328
-2.05,13,100.496349
-6.26,47,100.639972
-1.97,6,100.656471
-2.05,10,100.687087
-1.93,7,100.707964
1.41,24,100.770117
-2.17,7,100.793587
-6.09,61,100.958193
-6.79,46,101.083214
-6.51,49,101.213966
-6.3,60,101.377439
-1.93,7,101.394819
-1.18,145,101.762433
-1.97,10,102.233116
-6.09,52,102.365661
-2.21,16,102.408809
-6.65,50,102.54352
-1.97,14,102.580088
-2.12,12,102.612964
-6.6,51,102.755158
-5.94,64,102.927315
-2.17,10,102.958137
-6.71,47,103.091872
-1.98,10,103.120498
-6.65,50,103.264609
-1.9,15,103.305213
-6.79,45,103.429401
-6.29,62,103.594151
-1.92,7,103.615686
-5.87,66,104.289994
-6.16,54,104.522418
-1.93,7,104.547332
-6.23,61,104.760819
-1.93,11,104.797151
-6.53,51,104.962492
-1.93,8,104.988633
-2.53,15,105.038594
-5.35,83,105.27687
-2.17,10,105.306181
-6.37,65,105.474137
-2.11,16,105.515234
-5.39,89,106.244483
-6.72,49,106.395804
-1.93,10,106.425578
-6.74,48,106.576015
-1.98,13,106.632239
-2.12,16,106.68762
-6.73,47,106.85345
-1.97,7,106.876494
-6.73,48,107.02747
-1.93,8,107.05156
-2.11,5,107.069228
-5.97,59,107.235065
-2.03,9,107.261134
-2.09,19,107.315523
-2.03,10,107.346078
-2.11,11,107.375679
-2.03,10,107.404449
-5.79,86,107.619625
1.46,22,107.678807
-6.85,49,108.24327
-6.71,52,108.379847
-6.65,49,108.522499
-1.98,9,108.557446
-6.58,49,108.710953
-5.77,89,108.943483
1.88,18,108.992296
-6.28,47,109.121292
-2.17,15,109.168267
-6.73,52,109.308822
-6.46,55,109.458618
-2.17,11,109.491474
-5.81,49,110.10619
-6.53,52,110.24039
-1.98,10,110.266979
-6.67,51,110.397874
-5.92,69,110.612208
-1.98,11,110.648177
-2.33,15,110.697229
-6.45,45,110.832447
-6.34,49,111.006565
-1.98,13,111.044897
-6.51,54,111.229981
-1.96,11,111.266922
-2.03,13,111.30956
-5.21,124,112.17173
-2.03,12,112.208466
-5.83,73,112.395899
-1.98,9,112.422289
-5.36,67,112.60558
-2.03,9,112.631731
-1.96,9,112.656593
-6.63,47,112.787978
-5.79,87,113.007656
-6.39,61,113.155741
-4.5,126,113.893574
-2.11,18,113.945727
-1.92,7,113.96627
-1.92,10,113.992531
-1.98,10,114.022727
-6.48,46,114.158833
1.88,32,114.247074
-6.59,51,114.402818
-5.79,88,114.652398
-2.11,12,114.690679
-2.17,12,114.732611
-6.81,46,114.868764
1.58,17,114.917151
-2.3,9,114.946884
-6.29,44,115.066125
-6.65,49,115.202791
-6.67,49,115.335967
-6.73,48,115.946937
-6.44,53,116.072721
-6.58,54,116.210792
-2.49,20,116.262704
-6.79,47,116.375463
-1.97,9,116.397609
-5.27,82,116.615038
-6.6,53,116.796374
-6.44,52,116.954475
-2.05,12,116.988042
-6.37,56,117.170116
-2.03,8,117.201629
-1.96,12,117.244915
-2.09,11,117.844913
1.41,19,117.898399
1.41,20,117.955385
-2.03,9,117.989366
-1.96,8,118.013239
-1.96,9,118.037644
-2.03,9,118.061129
-2.11,7,118.081957
-6.55,56,118.226869
-5.76,55,118.392219
-2.17,11,118.425047
-6.43,46,118.574213
-5.77,86,118.800698
-1.97,14,118.839245
-6.64,48,118.963486
-2.11,8,118.985659
-6.71,47,119.103503
-1.96,13,119.135945
-5.87,66,119.705678
-6.35,50,119.826813
-6.11,47,119.949661
-6.4,50,120.08797
-6.43,55,120.231102
-1.97,8,120.256324
-2.05,8,120.283359
-5.17,58,120.433437
-2.03,11,120.463913
-6.55,49,120.607292
-1.98,9,120.631527
